gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,Passed
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,84,73,69,75.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,71,74,68,71.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,74,73,67,71.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,68,59,62,63.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Subsidi Sekolah,Selesai Ikut Bimbel,57,56,54,55.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,82,93,93,89.33333333333333,1
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Selesai Ikut Bimbel,57,58,64,59.666666666666664,0
female,Kelompok Sosial Ekonomi 4,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,47,58,67,57.333333333333336,0
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,59,85,80,74.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,41,39,34,38.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,62,67,62,63.666666666666664,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,86,83,86,85.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,69,71,65,68.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,65,59,53,59.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,68,63,54,61.666666666666664,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,64,66,59,63.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,61,72,70,67.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,61,56,55,57.333333333333336,0
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,47,59,50,52.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,73,66,66,68.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,50,48,53,50.333333333333336,0
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,75,68,64,69.0,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,75,66,73,71.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,70,56,51,59.0,0
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,89,88,82,86.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,67,81,79,75.66666666666667,1
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,78,81,80,79.66666666666667,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,59,73,69,67.0,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,73,83,76,77.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,79,82,73,78.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,67,74,77,72.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,69,66,60,65.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,86,81,80,82.33333333333333,1
male,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,47,46,42,45.0,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,81,73,72,75.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,64,85,85,78.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,100,92,97,96.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,65,77,74,72.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,65,58,49,57.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,53,61,62,58.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,37,56,47,46.666666666666664,0
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,79,89,89,85.66666666666667,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,53,54,48,51.666666666666664,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,100,100,100,100.0,1
male,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,72,65,68,68.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,53,58,55,55.333333333333336,0
male,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,54,54,45,51.0,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,71,70,76,72.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,77,90,91,86.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,75,58,62,65.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,84,87,91,87.33333333333333,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,26,31,38,31.666666666666668,0
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,72,67,65,68.0,1
female,Kelompok Sosial Ekonomi 1 (Rendah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,77,88,85,83.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,91,74,76,80.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,83,85,90,86.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,63,69,74,68.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,68,86,84,79.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,59,67,61,62.333333333333336,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,90,90,91,90.33333333333333,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,71,76,83,76.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,76,62,66,68.0,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,68,72,73.33333333333333,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,55,64,70,63.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,76,71,67,71.33333333333333,1
male,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,73,71,68,70.66666666666667,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,52,59,56,55.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,68,68,61,65.66666666666667,1
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Bayar Sendiri,Tidak Ikut Bimbel,59,52,46,52.333333333333336,0
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,49,52,54,51.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,70,74,71,71.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,61,47,56,54.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,60,75,74,69.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,64,53,57,58.0,0
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,79,82,82,81.0,1
female,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,65,85,76,75.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,64,64,70,66.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,83,83,90,85.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,81,88,90,86.33333333333333,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,54,64,68,62.0,1
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Selesai Ikut Bimbel,68,64,66,66.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,54,48,52,51.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Selesai Ikut Bimbel,59,78,76,71.0,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,66,69,68,67.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,76,71,72,73.0,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,74,79,82,78.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,94,87,92,91.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,63,61,54,59.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,95,89,92,92.0,1
female,Kelompok Sosial Ekonomi 4,master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,40,59,54,51.0,0
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,82,82,80,81.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Bayar Sendiri,Tidak Ikut Bimbel,68,70,66,68.0,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,55,59,54,56.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Bayar Sendiri,Tidak Ikut Bimbel,79,78,77,78.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,86,92,87,88.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,76,71,73,73.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,64,50,43,52.333333333333336,0
male,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,62,49,52,54.333333333333336,0
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,54,61,62,59.0,0
female,Kelompok Sosial Ekonomi 2,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,77,97,94,89.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,76,87,85,82.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,74,89,84,82.33333333333333,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Selesai Ikut Bimbel,66,74,73,71.0,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,66,78,78,74.0,1
female,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Selesai Ikut Bimbel,67,78,79,74.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,71,49,52,57.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,91,86,84,87.0,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,69,58,57,61.333333333333336,1
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,54,59,50,54.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,53,52,49,51.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,68,60,59,62.333333333333336,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,56,61,60,59.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,36,53,43,44.0,0
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,29,41,47,39.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,62,74,70,68.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,68,67,73,69.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,47,54,53,51.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,62,61,58,60.333333333333336,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,79,88,94,87.0,1
male,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,73,69,68,70.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,66,83,83,77.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,51,60,58,56.333333333333336,0
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,51,66,62,59.666666666666664,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,85,66,71,74.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,97,92,86,91.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,75,69,68,70.66666666666667,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,79,82,80,80.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,81,77,79,79.0,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,82,95,89,88.66666666666667,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,64,63,66,64.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,78,83,80,80.33333333333333,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,92,100,97,96.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,72,67,64,67.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,62,67,64,64.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Bayar Sendiri,Tidak Ikut Bimbel,79,72,69,73.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,79,76,65,73.33333333333333,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,87,90,88,88.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,40,48,50,46.0,0
male,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,77,62,64,67.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,53,45,40,46.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,32,39,33,34.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,55,72,79,68.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,61,67,66,64.66666666666667,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,53,70,70,64.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,73,66,62,67.0,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,74,75,79,76.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,63,74,74,70.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,96,90,92,92.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Selesai Ikut Bimbel,63,80,80,74.33333333333333,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,48,51,46,48.333333333333336,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,48,43,45,45.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,92,100,100,97.33333333333333,1
female,Kelompok Sosial Ekonomi 4,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,61,71,78,70.0,1
male,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,63,48,47,52.666666666666664,0
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,68,68,67,67.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Selesai Ikut Bimbel,71,75,70,72.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,91,96,92,93.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,53,62,56,57.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,50,66,64,60.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,74,81,71,75.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,40,55,53,49.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Bayar Sendiri,Selesai Ikut Bimbel,61,51,52,54.666666666666664,0
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,81,91,89,87.0,1
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Selesai Ikut Bimbel,48,56,58,54.0,0
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,53,61,68,60.666666666666664,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,81,97,96,91.33333333333333,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Bayar Sendiri,Tidak Ikut Bimbel,77,79,80,78.66666666666667,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,63,73,78,71.33333333333333,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,73,75,80,76.0,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,69,77,77,74.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,76,76,72.33333333333333,1
female,Kelompok Sosial Ekonomi 1 (Rendah),high school,Bayar Sendiri,Tidak Ikut Bimbel,55,73,73,67.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,44,63,62,56.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,54,64,65,61.0,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,48,66,65,59.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,58,57,54,56.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,71,62,50,61.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,68,68,64,66.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,74,76,73,74.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,92,100,99,97.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,56,79,72,69.0,1
male,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,30,24,15,23.0,0
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,53,54,48,51.666666666666664,0
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,69,77,73,73.0,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,65,82,81,76.0,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,54,60,63,59.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,29,29,30,29.333333333333332,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,76,78,80,78.0,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Tidak Ikut Bimbel,60,57,51,56.0,0
male,Kelompok Sosial Ekonomi 4,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,84,89,90,87.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,75,72,62,69.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,85,84,82,83.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,40,58,54,50.666666666666664,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,61,64,62,62.333333333333336,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,58,63,65,62.0,1
male,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Selesai Ikut Bimbel,69,60,63,64.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,58,59,66,61.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,94,90,91,91.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,77,74,72.0,1
female,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,82,93,93,89.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,60,68,72,66.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,37,45,38,40.0,0
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,88,78,83,83.0,1
male,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,95,81,84,86.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,65,73,68,68.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,35,61,54,50.0,0
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,62,63,56,60.333333333333336,1
